doc_id,doc_name,doc_type,authors,publication_year,publication_venue,country_origin,language,relevance_tags,access_level,import_date,verification_status
DOC_1,Доклад_Вострикова Н.М.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_2,Доклад_Вязовой О.Н.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_3,Доклад_Луканина М.А.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_4,Доклад_Новожилова О.С.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_5,Доклад_Румянцев А.Е.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_6,Доклад_Федосеев А.В.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_7,НДС Комсомольский.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_8,Переработка рудных образований океана - Цымбулов Л.Б. Институт Гипроникель-16-06-2024.pptx,PPTX,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_9,Преза Рудник 2025.pptx,PPTX,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_10,Презентация для  научного совета.pptx,PPTX,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_11,Презентация Измерение НДС Техсовет.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_12,Презентация Тяпкина ПА.pptx,PPTX,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_13,Прогнозирование_участков_концентрации_напряжений_в_массиве_горных.pptx,PPTX,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_14,"Техсовет по геомеханике,презентация Кулагин А.Д. рудоспуски.pdf",PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_15,Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_16,Тяпкина ПА_Пермь_Зимняя школа.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_17,ГП № 1-2024.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_18,ГП № 2-2024.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_19,ГП № 3-2024.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_20,ГП № 4-2024.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_21,ГП № 5-2024.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_22,ГП № 6-2024.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_23,ГП № 1-2025.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_24,ГП № 2-2025.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_25,ГП № 3-2025.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
DOC_26,ГП № 4-2025.pdf,PDF,,,,Russia,ru,,internal,2026-07-03,Unverified
