parameter_id,node_id,parameter_name,unit,value,min_value,max_value,context,confidence_level,source_document,extraction_date
PAR_1,EQU_4,Содержание ДМ,%,,5,7,Сумма ДМ в 5-7 раз больше,High,Доклад_Вязовой О.Н.pdf,2026-07-03
PAR_2,PRO_6,размеры модели,относительные единицы,,3,5,размеры модели должны превышать размеры анализируемой области в 3-5 раз для соблюдения условия Сен-Венана,High,Доклад_Румянцев А.Е.pdf,2026-07-03
PAR_3,EQU_9,Влияние на массив,,,,,Негативное влияние на массив горных пород в прикровельной зоне ВТС,High,Доклад_Румянцев А.Е.pdf,2026-07-03
PAR_4,EQU_13,Тип исполнения,,,,,Беспроводной или проводной,High,Доклад_Румянцев А.Е.pdf,2026-07-03
PAR_5,PRO_24,состав,% масс.,,,,анализ шлака,High,Доклад_Новожилова О.С.pdf,2026-07-03
PAR_6,PRO_31,Глубина скважины,м,10.0,,,Оптимальная глубина для начала проведения измерений на глубине 750 м,High,НДС Комсомольский.pdf,2026-07-03
PAR_7,PRO_31,Диаметр скважины,мм,96.0,,,,High,НДС Комсомольский.pdf,2026-07-03
PAR_8,PRO_34,Пиковая скорость смещения,см/с,,,,"Зависит от применяемого подхода (VСАД, PVSmax, PPVx, PPVy, PPVz)",High,Доклад_Федосеев А.В.pdf,2026-07-03
PAR_9,PRO_34,Коэффициент сейсмичности,,,,,Зависит от условий взрывания и физико-механических характеристик среды,High,Доклад_Федосеев А.В.pdf,2026-07-03
PAR_10,PRO_34,Показатель затухания сейсмовзрывной волны,,,,,Отражает характер преобладающего типа волны,High,Доклад_Федосеев А.В.pdf,2026-07-03
PAR_11,PRO_34,Приведенное расстояние,м,,,,,High,Доклад_Федосеев А.В.pdf,2026-07-03
PAR_12,PRO_38,Минимальное расстояние от трещины до датчика,радиусы шпура,,6,11,Общие рекомендации по параметрам установки датчика при оверкоринге,High,НДС Комсомольский.pdf,2026-07-03
PAR_13,PRO_38,Минимальная длина измерительного шпура,радиусы шпура и скважины,,5r + 5R,10r + 10R,Общие рекомендации по параметрам установки датчика при оверкоринге,High,НДС Комсомольский.pdf,2026-07-03
PAR_14,EQU_55,скорость смещения,мм/с,,,,,High,Доклад_Федосеев А.В.pdf,2026-07-03
PAR_15,EQU_56,ускорение,м/с²,,,,,High,Доклад_Федосеев А.В.pdf,2026-07-03
PAR_16,EQU_57,частота,Гц,,3,5,,High,Доклад_Федосеев А.В.pdf,2026-07-03
PAR_17,EQU_58,деформация,,,,,,High,Доклад_Федосеев А.В.pdf,2026-07-03
PAR_18,EQU_59,ударно-воздушная волна,,,,,,High,Доклад_Федосеев А.В.pdf,2026-07-03
PAR_19,EQU_60,кадровая частота,кадров/с,2000.0,,,,High,Доклад_Федосеев А.В.pdf,2026-07-03
PAR_20,PRO_67,крупность питания,мм,,,,оптимизация крупности питания коллективной флотации для максимального раскрытия частиц МПГ,High,Презентация для  научного совета.pptx,2026-07-03
PAR_21,PRO_62,температура,°C,,,,влияет на вязкость и другие свойства шлака,High,Презентация для  научного совета.pptx,2026-07-03
PAR_22,PRO_78,температура,°C,,900,,обжиг МПГ промпродукта,High,Презентация для  научного совета.pptx,2026-07-03
