node_id,entity_type,name,language,synonyms,description,domain,source_document,created_date,updated_date,is_canonical
PRO_1,Process,Блочное геомеханическое моделирование,ru,,"Разработка инструмента для принятия технических решений, основанных на объективной геотехнической информации, для снижения рисков обрушения горного массива и повышения безопасности и эффективности горных работ.",Горные работы,Доклад_Румянцев А.Е.pdf,2026-07-03,2026-07-03,True
EQU_2,Equipment,Геомеханическая блочная модель (ГБМ),ru,ГБМ,Инструмент для анализа геотехнических данных и принятия решений в области горных работ.,Горные работы,Доклад_Румянцев А.Е.pdf,2026-07-03,2026-07-03,True
PRO_3,Process,Производство концентратов драгоценных металлов,ru,"Переработка материалов ДМ, получение товарных концентратов",Процесс производства концентратов драгоценных металлов с использованием различных технологических схем.,переработка отходов,Доклад_Вязовой О.Н.pdf,2026-07-03,2026-07-03,True
EQU_4,Equipment,Схема хлорного выщелачивания - электроэкстракции никеля,ru,ЦЭН-2,"Технологическая схема, используемая для производства товарного никеля.",пирометаллургия,Доклад_Вязовой О.Н.pdf,2026-07-03,2026-07-03,True
MAT_5,Material,ДМ-содержащие продукты,ru,Драгоценные металлы,"Материалы, содержащие драгоценные металлы, которые подвергаются переработке.",переработка отходов,Доклад_Вязовой О.Н.pdf,2026-07-03,2026-07-03,True
PRO_6,Process,численное геомеханическое моделирование,ru,,метод создания численных моделей для анализа напряжённо-деформированного состояния массива горных пород,горнодобывающая промышленность,Доклад_Румянцев А.Е.pdf,2026-07-03,2026-07-03,True
EQU_7,Equipment,CAD среда,en,,программное обеспечение для создания объёмных твердотельных моделей,горнодобывающая промышленность,Доклад_Румянцев А.Е.pdf,2026-07-03,2026-07-03,True
EQU_8,Equipment,CAE Fidesys,en,,программа для пре- и постпроцессинга численных моделей,горнодобывающая промышленность,Доклад_Румянцев А.Е.pdf,2026-07-03,2026-07-03,True
EQU_9,Equipment,Боковые анкеры,ru,,"Элементы крепления, используемые в прикровельной зоне для укрепления горных пород.",Переработка отходов,Доклад_Румянцев А.Е.pdf,2026-07-03,2026-07-03,True
FAC_10,Facility,Подземный объект капитального строительства,ru,,"Объект, на котором проводятся геотехнические исследования и мониторинг.",Переработка отходов,Доклад_Румянцев А.Е.pdf,2026-07-03,2026-07-03,True
FAC_11,Facility,Лаборатория геотехники ООО «Институт Гипроникель»,ru,,Выполняет работы по направлению геомеханика/геотехника для Компании более 12 лет,Геомеханика,Доклад_Румянцев А.Е.pdf,2026-07-03,2026-07-03,True
PRO_12,Process,Численное моделирование,ru,,Метод моделирования напряженно-деформированного состояния массива горных пород,Геомеханика,Доклад_Румянцев А.Е.pdf,2026-07-03,2026-07-03,True
EQU_13,Equipment,Радиальный экстензометр,ru,,Устройство для измерения деформаций горных пород,Геомеханика,Доклад_Румянцев А.Е.pdf,2026-07-03,2026-07-03,True
EQU_14,Equipment,Осевой экстензометр,ru,,Устройство для измерения деформаций горных пород,Геомеханика,Доклад_Румянцев А.Е.pdf,2026-07-03,2026-07-03,True
PRO_15,Process,CFD,en,Вычислительная гидродинамика,"Метод основан на решении уравнений движения и теплопереноса в жидкостях, газах и твёрдых телах для каждой ячейки пространства, разбитого на множество элементов.",пирометаллургия,Доклад_Луканина М.А.pdf,2026-07-03,2026-07-03,True
EXP_16,Experiment,Моделирование течения газового пространства печи,ru,,"Проведено моделирование течения газового пространства печи, определены застойные зоны, выявлены условия, исключающие работу печи под давлением.",пирометаллургия,Доклад_Луканина М.А.pdf,2026-07-03,2026-07-03,True
EXP_17,Experiment,Моделирование течения расплава и кислородно-воздушной смеси в печи Ванюкова,ru,,"Проведено моделирование течения расплава и кислородно-воздушной смеси, подаваемой через фурмы.",пирометаллургия,Доклад_Луканина М.А.pdf,2026-07-03,2026-07-03,True
EXP_18,Experiment,Моделирование течения расплава в шлаковом и штейновом сифонах ПВ,ru,,Исследована зависимость толщины настыли на своде перетока и стенках сифона от теплопотерь стенок с охлаждающими кессонами.,пирометаллургия,Доклад_Луканина М.А.pdf,2026-07-03,2026-07-03,True
